Zeitraum;CDU/CSU;SPD;FDP;Bündnis 90/ Die Grünen;Die Linke;Alternative für Deutschland (AfD);Sonstige Parteien
16.09 - 19.09.2013;39,5;27;5,5;9;9;4,5;5,5
03.09 - 13.09.2013;39;26;6;11;9;3,5;5,5
20.08 - 31.08.2013;40;25;6;12,5;7,5;3;6
03.08 - 15.08.2013;39;24,5;7;13,5;7;3;6
01.07 - 11.07.2013;40;25,5;6,5;12,5;6;3,5;6
01.06 - 14.06.2013;38;26;6;14;7;3;6
04.05 - 17.05.2013;39;27;6;13;6;3,5;5,5
15.04 - 30.04.2013;38,5;26;5,5;15;6;3,5;5,5
27.03 - 12.04.2013;38,5;28;5;15;7;6,5;
01.03 - 14.03.2013;39,5;26,5;6;15,5;6;6,5;
01.02 - 14.02.2013;39;27;6;15;6,5;6,5;
05.01 - 18.01.2013;39;28;5;14;7;7;
01.12 - 13.12.2012;37,5;30;4,5;14;6,5;7,5;
26.10 - 08.11.2012;37,5;31;4;12,5;6,5;8,5;
23.10 - 06.11.2012;37,5;31;4;12,5;6,5;8,5;
28.09 - 12.10.2012;35,5;31;4,5;14;6;9;
03.09 - 17.09.2012;34;30;5,5;14;6,5;10;
01.08 - 13.08.2012;35;28;5,5;15;6;10,5;
01.07 - 12.07.2012;36;27;6;14;6;11;
04.06 - 15.06.2012;34;28;5,5;15,5;5;12;
05.05 - 19.05.2012;35,5;30;4,5;14;5,5;10,5;
01.04 - 13.04.2012;34,5;28;3,5;14;7;13;
03.03 - 15.03.2012;35;30;3,5;16;7;8,5;
04.02 - 16.02.2012;36;28;4,5;15,5;7,5;8,5;
07.01 - 21.01.2012;35;29;4;16,5;7;8,5;
21.11 - 04.12.2011;34;30;4;16;7;9;
28.10 - 11.11.2011;32;30;4,5;17;8;8,5;
04.10 - 16.10.2011;31;30,5;4,5;17,5;7,5;9;
16.09 - 30.09.2011;32;30;4,5;19;7,5;7;
02.09 - 16.09.2011;33,5;28,5;5;19;8;6;
12.08 - 27.08.2011;32;29,5;5;20;7,5;6;
30.07 - 13.08.2011;33;29;4,5;20;7,5;6;
02.07 - 15.07.2011;34;27;5,5;20;7,5;6;
03.06 - 18.06.2011;34,5;27,5;4,5;21;7;5,5;
02.05 - 14.05.2011;33;27;5,5;22;6,5;6;
01.04 - 16.04.2011;32;28;5;23;7;5;
26.02 - 13.03.2011;36,5;29;6,5;15;8;5;
04.02 - 17.02.2011;36;28,5;6,5;16,5;7,5;5;
07.01 - 21.01.2011;34,5;27,5;5,5;18;8,5;6;
27.11 - 10.12.2010;34;28,5;6;18,5;8;5;
06.11 - 18.11.2010;32;27,5;6;19,5;9;6;
01.10 - 14.10.2010;30,5;28;5,5;20,5;9,5;6;
03.09 - 16.09.2010;32,5;29,5;6,5;18,5;8;5;
01.08 - 12.08.2010;31;32;6;17;8,5;5,5;
02.07 - 15.07.2010;31,5;31,5;6,5;15,5;9,5;5,5;
